objectID,color_eligible,color_analysis_status,primary_image_url,bw_grayscale_ratio,top_color_hex,dominant_colors_hex,dominant_colors_share,color_group_id,color_group_label,no_bg_image_path,no_bg_image_exists,dominant_color_foreground_pixels
39631,True,eligible,https://images.metmuseum.org/CRDImages/as/original/LC-29_100_160_whs-002.jpg,0.08529200,#746c5b,"[""#746c5b"", ""#7b7463"", ""#6c6453"", ""#5c523c"", ""#645b44"", ""#6b634c"", ""#fefefe"", ""#645c4b""]","[0.02736, 0.024905, 0.023175, 0.02189, 0.02183, 0.02094, 0.02034, 0.01999]",6,orange,/Users/oliviakasmin/Desktop/okasmin-parsons-thesis-2026/process_data/generated/real_images/39631_no_bg.png,True,229721
39666,True,eligible,https://images.metmuseum.org/CRDImages/as/original/DP-32251-001.jpg,0.62498400,#ebf2f4,"[""#ebf2f4"", ""#e3ebed"", ""#fdfdfd"", ""#c3cbcd"", ""#bbc3c4"", ""#cad3d5"", ""#dbe4e5"", ""#f4f9fc""]","[0.020285, 0.01815, 0.015895, 0.013135, 0.01166, 0.0104, 0.010155, 0.00959]",2,blue,/Users/oliviakasmin/Desktop/okasmin-parsons-thesis-2026/process_data/generated/real_images/39666_no_bg.png,True,412262
39885,True,eligible,https://images.metmuseum.org/CRDImages/as/original/DP231902.jpg,0.00004800,#636554,"[""#636554"", ""#b4b3a4"", ""#acac9b"", ""#6a6c5c"", ""#5b5c4d"", ""#bbbaac"", ""#66695a"", ""#a2a494""]","[0.035535, 0.02871, 0.02579, 0.021445, 0.01775, 0.01767, 0.01716, 0.016225]",3,yellow,/Users/oliviakasmin/Desktop/okasmin-parsons-thesis-2026/process_data/generated/real_images/39885_no_bg.png,True,450225
40074,False,bw_original,https://images.metmuseum.org/CRDImages/as/original/76368.jpg,1.00000000,,[],[],,,/Users/oliviakasmin/Desktop/okasmin-parsons-thesis-2026/process_data/generated/real_images/40074_no_bg.png,False,
40082,False,bw_original,https://images.metmuseum.org/CRDImages/as/original/1992_165_1_L35736.jpg,1.00000000,,[],[],,,/Users/oliviakasmin/Desktop/okasmin-parsons-thesis-2026/process_data/generated/real_images/40082_no_bg.png,False,
40083,False,bw_original,https://images.metmuseum.org/CRDImages/as/original/1992_165_2_L35745.jpg,1.00000000,,[],[],,,/Users/oliviakasmin/Desktop/okasmin-parsons-thesis-2026/process_data/generated/real_images/40083_no_bg.png,False,
40084,True,eligible,https://images.metmuseum.org/CRDImages/as/original/ASA106.jpg,0.01221239,#e3e5ec,"[""#e3e5ec"", ""#ebecf3"", ""#dadde4"", ""#fdfdfd"", ""#cacdd3"", ""#d2d5dc"", ""#d5dbe2"", ""#dee2e9""]","[0.03105632, 0.03016367, 0.02427105, 0.01645753, 0.01632759, 0.01591516, 0.01402252, 0.01319767]",2,blue,/Users/oliviakasmin/Desktop/okasmin-parsons-thesis-2026/process_data/generated/real_images/40084_no_bg.png,True,177001
40095,True,eligible,https://images.metmuseum.org/CRDImages/as/original/DP23087.jpg,0.00104400,#6b3a25,"[""#6b3a25"", ""#6c3d2a"", ""#73432c"", ""#653a24"", ""#653522"", ""#6c422c"", ""#6b3523"", ""#733a25""]","[0.02166, 0.015845, 0.01282, 0.011605, 0.01129, 0.01101, 0.00988, 0.00938]",5,orange,/Users/oliviakasmin/Desktop/okasmin-parsons-thesis-2026/process_data/generated/real_images/40095_no_bg.png,True,418038
40206,False,bw_original,https://images.metmuseum.org/CRDImages/as/original/268189.jpg,1.00000000,,[],[],,,/Users/oliviakasmin/Desktop/okasmin-parsons-thesis-2026/process_data/generated/real_images/40206_no_bg.png,False,
40207,False,bw_original,https://images.metmuseum.org/CRDImages/as/original/268190.jpg,1.00000000,,[],[],,,/Users/oliviakasmin/Desktop/okasmin-parsons-thesis-2026/process_data/generated/real_images/40207_no_bg.png,False,
