objectId,department,title,final_group,objectBeginDate,objectEndDate,final_date,final_date_bucket_key,geo_options,geo_normalized_best_guess_location,geo_normalized_source_cols,geo_normalized_confidence,geo_normalized_geo_eligible,mapbox_feature_id,mapbox_place_name,geo_mapbox_lon,geo_mapbox_lat,geo_mapbox_relevance,geo_mapbox_accuracy,geo_mapbox_match_status,geo_mapbox_updated_at,color_eligible,top_color_hex,dominant_colors_hex,color_group_id,color_group_key,color_group_type,color_group_confidence
451873,Islamic Art,Vase,vase,1600,1699,1649,1500:1999,||||||Iran||||,Iran,country,0.70,true,country.8814,Iran,54.301374,32.565838,1.0,country:1.00,matched,2026-04-27T16:46:46Z,True,#e4ccc3,"[""#e4ccc3"", ""#fdfdfd"", ""#e4d3cc"", ""#dcc3bb"", ""#e5d3d3"", ""#e3cdcb"", ""#ead4cc"", ""#ead5d3""]",9.0,white,single,1.0
475416,Medieval Art,Ampulla (Flask) of Saint Menas,flask,610,650,630,500:999,||||||||Byzantine (Egypt)||,"Egypt, Byzantine",culture||country,0.55,true,country.8771,Egypt,29.871903,26.494184,0.5,country:0.50,matched,2026-04-27T16:46:40Z,True,#fefefe,"[""#fefefe"", ""#b39c83"", ""#bba58b"", ""#c3ad93"", ""#cbb59b"", ""#ab947c"", ""#ad9a83"", ""#b5a28b""]",2.0,brown_tan,single,0.834785
51020,Asian Art,Vase with Elephant Heads and Cloud Designs,vase,1736,1795,1765,1500:1999,||||||||China||,China,culture,0.55,true,country.8753,People's Republic of China,101.901875,35.486703,1.0,country:1.00,matched,2026-04-27T16:46:34Z,True,#e3e4e4,"[""#e3e4e4"", ""#b4b4b3"", ""#c4c4c3"", ""#bcbcbb"", ""#cbcbcb"", ""#a4a4a3"", ""#acacac"", ""#d3d3d4""]",0.0,multicolor,multicolor,0.505078
187701,European Sculpture and Decorative Arts,Ewer,pitcher,1705,1765,1735,1500:1999,||||||||||,,none,0.00,false,,,,,,,,,True,#fdfdfd,"[""#fdfdfd"", ""#f4f4f3"", ""#141b2b"", ""#141b24"", ""#fbfbf5"", ""#ececeb"", ""#1b2333"", ""#131c33""]",0.0,multicolor,multicolor,0.539801
50837,Asian Art,Vase with figural scenes,vase,1668,1722,1695,1500:1999,||||||||China||,China,culture,0.55,true,country.8753,People's Republic of China,101.901875,35.486703,1.0,country:1.00,matched,2026-04-27T16:46:34Z,False,,[],,,,
853981,Asian Art,Ewer with makara spout with lotus-form cover,pitcher,1225,1299,1262,1000:1499,"||||||||Vietnam, Hong River region||","Red River Delta, Vietnam",culture||country,0.55,true,country.8948,Vietnam,108.339537,14.315424,0.388889,country:0.39,matched,2026-04-27T16:47:03Z,True,#bcb284,"[""#bcb284"", ""#b4aa7c"", ""#ccc39b"", ""#aca274"", ""#5b543b"", ""#534c34"", ""#c4ba8c"", ""#d3ccab""]",2.0,brown_tan,single,1.0
450943,Islamic Art,Jar,jar,1175,1250,1212,1000:1499,Raqqa||||||Syria||||,"Raqqa, Syria",city||country,0.88,true,place.13035735,"Raqqa, Al-Raqqah, Syria",39.008921,35.949678,1.0,place:1.00,matched,2026-04-27T16:47:01Z,True,#fefefe,"[""#fefefe"", ""#1c0302"", ""#140302"", ""#230302"", ""#2b0302"", ""#fdfdeb"", ""#fdfce4"", ""#0c0202""]",4.0,red,single,0.841831
476266,Medieval Art,Amphora,amphora,300,699,499,0:499,||Kharga Oasis||||Byzantine Egypt||Coptic||,"Kharga Oasis, Byzantine Egypt",state||country,0.72,true,country.8771,Egypt,29.871903,26.494184,0.388889,country:0.39,matched,2026-04-27T16:46:49Z,True,#7c5b44,"[""#7c5b44"", ""#83634b"", ""#fefefe"", ""#835b44"", ""#74533c"", ""#7c533c"", ""#6c4b34"", ""#d3a383""]",3.0,orange,single,1.0
308380,The Michael C. Rockefeller Wing,Collared jar with birds,jar,100,400,250,0:499,||||||Peru||Nasca||,Peru,country,0.70,true,country.8880,Peru,-75.311132,-10.151093,1.0,country:1.00,matched,2026-04-27T16:47:00Z,True,#6d4b1c,"[""#6d4b1c"", ""#745323"", ""#cdb373"", ""#c5ab6b"", ""#bda363"", ""#1b0402"", ""#724c1c"", ""#6a4415""]",2.0,brown_tan,single,0.89705
46547,Asian Art,Vase,vase,1700,1799,1749,1500:1999,||||||||China||,China,culture,0.55,true,country.8753,People's Republic of China,101.901875,35.486703,1.0,country:1.00,matched,2026-04-27T16:46:34Z,True,#fefefe,"[""#fefefe"", ""#4b2403"", ""#6a4533"", ""#5b2c03"", ""#834b03"", ""#7c4303"", ""#633303"", ""#542b04""]",2.0,brown_tan,single,0.676638
48551,Asian Art,Vase,vase,1567,1633,1600,1500:1999,||||||||China||,China,culture,0.55,true,country.8753,People's Republic of China,101.901875,35.486703,1.0,country:1.00,matched,2026-04-27T16:46:34Z,True,#8b836c,"[""#8b836c"", ""#837d63"", ""#7a7355"", ""#938d7b"", ""#736c4b"", ""#928b74"", ""#6c6542"", ""#635b35""]",2.0,brown_tan,single,1.0
460665,Robert Lehman Collection,Small ewer,pitcher,1662,1722,1692,1500:1999,||||||||Chinese||,China,culture,0.55,true,country.8753,People's Republic of China,101.901875,35.486703,1.0,country:1.00,matched,2026-04-27T16:46:34Z,True,#fdfdfd,"[""#fdfdfd"", ""#bbbbb4"", ""#b3b4ac"", ""#c3c3bc"", ""#d3d5d3"", ""#dbdddb"", ""#b5bab3"", ""#bcbdba""]",0.0,multicolor,multicolor,0.525652
42257,Asian Art,Vase with Animals and Mythical Creatures,vase,1700,1733,1716,1500:1999,||||||||China||,China,culture,0.55,true,country.8753,People's Republic of China,101.901875,35.486703,1.0,country:1.00,matched,2026-04-27T16:46:34Z,False,,[],,,,
448447,Islamic Art,Ewer,pitcher,1600,1699,1649,1500:1999,||||||Syria||||,Syria,country,0.70,true,country.8919,Syria,38.505592,35.013048,1.0,country:1.00,matched,2026-04-27T16:47:09Z,True,#f2f2f2,"[""#f2f2f2"", ""#ecedec"", ""#fdfdfd"", ""#e3e5e3"", ""#dce3e3"", ""#edf2f3"", ""#dbdddb"", ""#4b6483""]",0.0,multicolor,multicolor,0.513709
49352,Asian Art,"Vase decorated with flowers, birds, and poems",vase,1709,1709,1709,1500:1999,||||||||China||,China,culture,0.55,true,country.8753,People's Republic of China,101.901875,35.486703,1.0,country:1.00,matched,2026-04-27T16:46:34Z,True,#fdfdfd,"[""#fdfdfd"", ""#233354"", ""#23324c"", ""#1c2c4c"", ""#232c43"", ""#24355b"", ""#242b3c"", ""#2c4c82""]",5.0,blue,single,0.781775
196360,European Sculpture and Decorative Arts,Vase with stopper,vase,1825,1835,1830,1500:1999,||||||||||,,none,0.00,false,,,,,,,,,False,,[],,,,
63526,Asian Art,Sake bottle,bottle,1934,1966,1950,1500:1999,||||||||Japan||Japanese,Japan,culture,0.55,true,country.8820,Japan,138.59223,36.386493,1.0,country:1.00,matched,2026-04-27T16:46:48Z,False,,[],,,,
190474,European Sculpture and Decorative Arts,Vase,vase,1800,1899,1849,1500:1999,||||||||||American and French,United States,department||artistNationality,0.15,false,country.8940,United States,-97.922211,39.381266,1.0,country:1.00,matched,2026-04-27T16:47:13Z,True,#1b130c,"[""#1b130c"", ""#241b13"", ""#fdfdfd"", ""#130d0b"", ""#1b1512"", ""#0c0b0a"", ""#15120c"", ""#23150c""]",2.0,brown_tan,single,0.795205
192830,European Sculpture and Decorative Arts,Vase,vase,1755,1765,1760,1500:1999,||||||||||British,Britain,department||artistNationality,0.53,true,country.8783,United Kingdom,-2.36967,54.237933,1.0,country:1.00,matched,2026-04-27T16:46:31Z,True,#fdfefe,"[""#fdfefe"", ""#cccccb"", ""#d4d4d3"", ""#f3f4f4"", ""#dcdcdb"", ""#c4c4c3"", ""#e4e4e3"", ""#ececec""]",0.0,multicolor,multicolor,0.59193
50694,Asian Art,Meiping (Plum) Vase with Bamboo and Rocks,vase,1700,1749,1724,1500:1999,||||||||China||,China,culture,0.55,true,country.8753,People's Republic of China,101.901875,35.486703,1.0,country:1.00,matched,2026-04-27T16:46:34Z,False,,[],,,,
47215,Asian Art,Bottle,bottle,1700,1799,1749,1500:1999,||||||||Japan||,Japan,culture,0.55,true,country.8820,Japan,138.59223,36.386493,1.0,country:1.00,matched,2026-04-27T16:46:48Z,False,,[],,,,
