objectID,color_eligible,color_analysis_status,primary_image_url,bw_grayscale_ratio,top_color_hex,dominant_colors_hex,dominant_colors_share,color_group_id,color_group_label,no_bg_image_path,no_bg_image_exists,dominant_color_foreground_pixels,color_group_key,color_group_type,color_group_confidence
52569,False,bw_original,https://images.metmuseum.org/CRDImages/as/original/73133.jpg,1.0,,[],[],,,/Users/oliviakasmin/Desktop/okasmin-parsons-thesis-2026/process_data/generated/real_images/52569_no_bg.png,False,,,,
52605,True,eligible,https://images.metmuseum.org/CRDImages/as/original/17_177_S1_sf.jpg,0.000148,#fdfefe,"[""#fdfefe"", ""#f4fcfd"", ""#021c44"", ""#f3f4f4"", ""#ecfcfe"", ""#03234c"", ""#bbccd3"", ""#032453""]","[0.03181853, 0.00516164, 0.00485302, 0.00472957, 0.00471414, 0.00449811, 0.00418949, 0.00415863]",0,multicolor,/Users/oliviakasmin/Desktop/okasmin-parsons-thesis-2026/process_data/generated/real_images/52605_no_bg.png,True,129610.0,multicolor,multicolor,0.789315
52609,False,bw_original,https://images.metmuseum.org/CRDImages/as/original/26_292_60_103518.jpg,1.0,,[],[],,,/Users/oliviakasmin/Desktop/okasmin-parsons-thesis-2026/process_data/generated/real_images/52609_no_bg.png,False,,,,
52610,True,eligible,https://images.metmuseum.org/CRDImages/as/original/26_292_62_O1_sf.jpg,0.0,#43542a,"[""#43542a"", ""#435225"", ""#3c4d23"", ""#445a2c"", ""#4b5b2c"", ""#424d23"", ""#3d542a"", ""#3d5225""]","[0.05819658, 0.05500821, 0.05497295, 0.04347366, 0.03981182, 0.03214563, 0.03152105, 0.02664027]",2,green,/Users/oliviakasmin/Desktop/okasmin-parsons-thesis-2026/process_data/generated/real_images/52610_no_bg.png,True,198534.0,green,single,1.0
52611,True,eligible,https://images.metmuseum.org/CRDImages/as/original/DP335595.jpg,0.283948,#89938e,"[""#89938e"", ""#3c4a44"", ""#818b85"", ""#34423c"", ""#85928b"", ""#8d9a93"", ""#7a837d"", ""#95a29b""]","[0.03109, 0.028265, 0.02807, 0.027725, 0.026705, 0.02472, 0.02388, 0.02382]",0,multicolor,/Users/oliviakasmin/Desktop/okasmin-parsons-thesis-2026/process_data/generated/real_images/52611_no_bg.png,True,245703.0,multicolor,multicolor,0.593606
52624,True,eligible,https://images.metmuseum.org/CRDImages/as/original/50_221_8_O1_sf.jpg,0.00488,#030302,"[""#030302"", ""#1c1b13"", ""#85714c"", ""#826e4a"", ""#8a7553"", ""#14130b"", ""#8d7954"", ""#8a744d""]","[0.05329, 0.03115, 0.02972, 0.027905, 0.027395, 0.024755, 0.023905, 0.022135]",101,orange 0.46 + yellow 0.33,/Users/oliviakasmin/Desktop/okasmin-parsons-thesis-2026/process_data/generated/real_images/52624_no_bg.png,True,454440.0,combo_2,combo,0.768356
52626,False,bw_original,https://images.metmuseum.org/CRDImages/as/original/26_292_71_103532.jpg,1.0,,[],[],,,/Users/oliviakasmin/Desktop/okasmin-parsons-thesis-2026/process_data/generated/real_images/52626_no_bg.png,False,,,,
52638,True,eligible,https://images.metmuseum.org/CRDImages/as/original/26_292_25_O1_sf.jpg,0.0,#4c422c,"[""#4c422c"", ""#544a34"", ""#4a3d2a"", ""#5c523c"", ""#6b644c"", ""#736b54"", ""#4c4532"", ""#544c3a""]","[0.0568, 0.05159, 0.047855, 0.042295, 0.03904, 0.03397, 0.033395, 0.026605]",101,orange 0.46 + yellow 0.33,/Users/oliviakasmin/Desktop/okasmin-parsons-thesis-2026/process_data/generated/real_images/52638_no_bg.png,True,446796.0,combo_2,combo,0.901762
52639,True,eligible,https://images.metmuseum.org/CRDImages/as/original/26_292_42_O1_sf.jpg,3.6e-05,#6c6b5b,"[""#6c6b5b"", ""#5b5544"", ""#7b7c6b"", ""#747463"", ""#625d4b"", ""#838373"", ""#726d5b"", ""#6b6553""]","[0.03872, 0.03621, 0.034535, 0.033905, 0.033295, 0.03241, 0.02993, 0.02926]",101,orange 0.46 + yellow 0.33,/Users/oliviakasmin/Desktop/okasmin-parsons-thesis-2026/process_data/generated/real_images/52639_no_bg.png,True,435581.0,combo_2,combo,0.753033
52656,True,eligible,https://images.metmuseum.org/CRDImages/as/original/26_292_20_O2_sf.jpg,0.00122,#636c63,"[""#636c63"", ""#64736b"", ""#5b645b"", ""#545d53"", ""#5c6b64"", ""#54635b"", ""#fefefe"", ""#5c6155""]","[0.03997, 0.038195, 0.036105, 0.033215, 0.02794, 0.026085, 0.02415, 0.022565]",0,multicolor,/Users/oliviakasmin/Desktop/okasmin-parsons-thesis-2026/process_data/generated/real_images/52656_no_bg.png,True,221524.0,multicolor,multicolor,0.565435
52658,False,bw_original,https://images.metmuseum.org/CRDImages/as/original/42175.jpg,1.0,,[],[],,,/Users/oliviakasmin/Desktop/okasmin-parsons-thesis-2026/process_data/generated/real_images/52658_no_bg.png,False,,,,
52659,True,eligible,https://images.metmuseum.org/CRDImages/as/original/18_56_82_O6.JPG,0.460788,#4c544c,"[""#4c544c"", ""#fefefd"", ""#535b53"", ""#444b44"", ""#52554c"", ""#4a4c44"", ""#8c9b8c"", ""#a4b2a4""]","[0.019115, 0.017505, 0.016995, 0.014815, 0.01263, 0.012415, 0.01222, 0.01211]",105,neutral 0.81 + green 0.10,/Users/oliviakasmin/Desktop/okasmin-parsons-thesis-2026/process_data/generated/real_images/52659_no_bg.png,True,245605.0,combo_6,combo,0.454822
52662,False,bw_original,https://images.metmuseum.org/CRDImages/as/original/75965.jpg,1.0,,[],[],,,/Users/oliviakasmin/Desktop/okasmin-parsons-thesis-2026/process_data/generated/real_images/52662_no_bg.png,False,,,,
52679,True,eligible,https://images.metmuseum.org/CRDImages/as/original/DP335586.jpg,0.185872,#828a84,"[""#828a84"", ""#737b75"", ""#7b827d"", ""#6b746d"", ""#636c64"", ""#5b645d"", ""#4b534d"", ""#65726b""]","[0.06619, 0.062495, 0.05302, 0.044545, 0.03934, 0.03096, 0.030895, 0.03033]",105,neutral 0.81 + green 0.10,/Users/oliviakasmin/Desktop/okasmin-parsons-thesis-2026/process_data/generated/real_images/52679_no_bg.png,True,227181.0,combo_6,combo,0.714134
52681,True,eligible,https://images.metmuseum.org/CRDImages/as/original/24_24_O2_sf.JPG,0.003588,#63645b,"[""#63645b"", ""#5c5c53"", ""#848b8b"", ""#8b8e8a"", ""#6b6b64"", ""#838582"", ""#8a8b84"", ""#8d918c""]","[0.04583106, 0.04029385, 0.03875546, 0.03828943, 0.03500719, 0.03424551, 0.03253173, 0.02913925]",0,multicolor,/Users/oliviakasmin/Desktop/okasmin-parsons-thesis-2026/process_data/generated/real_images/52681_no_bg.png,True,199559.0,multicolor,multicolor,0.5225
52682,True,eligible,https://images.metmuseum.org/CRDImages/as/original/25_222_2_O1_sf.jpg,0.0,#6a5d43,"[""#6a5d43"", ""#554b33"", ""#5d523a"", ""#5a4d35"", ""#62553c"", ""#4c432b"", ""#665b42"", ""#5b5136""]","[0.08510412, 0.08498261, 0.08352446, 0.05772843, 0.0563918, 0.05503491, 0.04003828, 0.03421582]",101,orange 0.46 + yellow 0.33,/Users/oliviakasmin/Desktop/okasmin-parsons-thesis-2026/process_data/generated/real_images/52682_no_bg.png,True,197511.0,combo_2,combo,0.923859
52685,False,bw_original,https://images.metmuseum.org/CRDImages/as/original/24_80_161_56768.jpg,1.0,,[],[],,,/Users/oliviakasmin/Desktop/okasmin-parsons-thesis-2026/process_data/generated/real_images/52685_no_bg.png,False,,,,
52709,True,eligible,https://images.metmuseum.org/CRDImages/as/original/46_39_14_O1_sf.jpg,0.106524,#c4cbcc,"[""#c4cbcc"", ""#cacdcc"", ""#bcc3c4"", ""#ccd3d4"", ""#8b8a85"", ""#c2c5c4"", ""#c4cdd2"", ""#b4bbbc""]","[0.058375, 0.03289, 0.031505, 0.029905, 0.02033, 0.018005, 0.01462, 0.014045]",105,neutral 0.81 + green 0.10,/Users/oliviakasmin/Desktop/okasmin-parsons-thesis-2026/process_data/generated/real_images/52709_no_bg.png,True,397379.0,combo_6,combo,0.404964
52711,True,eligible,https://images.metmuseum.org/CRDImages/as/original/19_95_2_O2_sf.jpg,0.0,#9b8d73,"[""#9b8d73"", ""#a3957a"", ""#93846b"", ""#8d836a"", ""#8a8166"", ""#847c62"", ""#8a7c63"", ""#83745c""]","[0.03671, 0.036505, 0.02935, 0.028945, 0.02502, 0.023995, 0.023295, 0.01972]",101,orange 0.46 + yellow 0.33,/Users/oliviakasmin/Desktop/okasmin-parsons-thesis-2026/process_data/generated/real_images/52711_no_bg.png,True,226060.0,combo_2,combo,0.833782
52712,True,eligible,https://images.metmuseum.org/CRDImages/as/original/DP225462.jpg,0.371276,#fdfdfd,"[""#fdfdfd"", ""#533532"", ""#5b3532"", ""#5c3c3b"", ""#4c2d2a"", ""#532d2b"", ""#633d3a"", ""#836463""]","[0.02124, 0.009815, 0.008055, 0.007365, 0.007275, 0.006955, 0.006775, 0.006665]",102,red 0.37 + orange 0.32,/Users/oliviakasmin/Desktop/okasmin-parsons-thesis-2026/process_data/generated/real_images/52712_no_bg.png,True,222856.0,combo_3,combo,0.810992
52719,False,bw_original,https://images.metmuseum.org/CRDImages/as/original/36708.jpg,1.0,,[],[],,,/Users/oliviakasmin/Desktop/okasmin-parsons-thesis-2026/process_data/generated/real_images/52719_no_bg.png,False,,,,
