objectID,hue_group,mean_hue,distance_to_anchor,hue_weight,mean_saturation,swatches_used,used_source_fallback,source_manual_groups
42301,green,106.792,23.208,0.133738,0.139834,6,False,"[""celadon""]"
52611,green,153.3442,23.3442,0.091262,0.149948,3,False,"[""celadon""]"
46929,green,153.6872,23.6872,0.505422,0.526305,6,False,"[""green""]"
770970,green,106.2467,23.7533,0.127567,0.153834,4,False,"[""celadon""]"
46965,green,153.8827,23.8827,0.724264,0.780286,6,False,"[""green""]"
448969,green,105.8954,24.1046,0.00994,0.15448,2,False,"[""blue_green_family""]"
50834,green,105.2118,24.7882,0.103137,0.22723,4,False,"[""celadon""]"
48333,green,105.0,25.0,0.000728,0.090909,1,False,"[""green""]"
46918,green,155.1856,25.1856,0.46918,0.549407,4,False,"[""green""]"
451946,green,155.2617,25.2617,0.135596,0.301743,4,False,"[""blue_green_family""]"
45844,green,155.3138,25.3138,0.290728,0.393402,3,False,"[""green""]"
46943,green,156.0831,26.0831,0.451745,0.472663,6,False,"[""green""]"
468399,green,103.7997,26.2003,0.047891,0.259555,2,False,"[""green""]"
45938,green,156.2143,26.2143,0.009407,0.181127,2,False,"[""green""]"
42228,green,156.947,26.947,0.601172,0.614808,7,False,"[""green""]"
468398,green,102.2837,27.7163,0.114739,0.360574,3,False,"[""green""]"
46546,green,157.7441,27.7441,0.495307,0.520533,5,False,"[""green""]"
45904,green,158.1999,28.1999,0.392792,0.446831,5,False,"[""green""]"
47072,green,101.5851,28.4149,0.037695,0.283197,4,False,"[""blue_green_family""]"
50349,green,159.0044,29.0044,0.197178,0.213664,5,False,"[""celadon""]"
52081,green,100.7279,29.2721,0.078928,0.126175,4,False,"[""celadon""]"
52036,green,159.3277,29.3277,0.607826,0.634368,6,False,"[""green""]"
51179,green,100.3136,29.6864,0.061073,0.446901,2,False,"[""green""]"
449708,green,99.9962,30.0038,0.036175,0.239607,3,False,"[""green""]"
445270,green,160.0448,30.0448,0.135695,0.183614,5,False,"[""blue_green_family""]"
46961,green,160.8551,30.8551,0.569065,0.590917,6,False,"[""green""]"
48726,green,97.8947,32.1053,0.003096,0.197917,1,False,"[""blue_green_family""]"
651289,green,97.8947,32.1053,0.001588,0.475,1,False,"[""green""]"
446195,green,162.4429,32.4429,0.112999,0.25422,4,False,"[""blue_green_family""]"
50235,green,162.6031,32.6031,0.094592,0.147973,3,False,"[""celadon""]"
48346,green,163.4543,33.4543,0.737169,0.767071,4,False,"[""green""]"
46920,green,163.628,33.628,0.610165,0.639226,5,False,"[""green""]"
447139,green,163.862,33.862,0.038883,0.111221,5,False,"[""cyan""]"
446269,green,163.8867,33.8867,0.158121,0.255684,4,False,"[""blue_green_family""]"
447277,green,164.8242,34.8242,0.293878,0.360909,5,False,"[""green""]"
46150,green,165.2841,35.2841,0.839881,0.846854,7,False,"[""green""]"
452082,green,165.4577,35.4577,0.304151,0.346431,6,False,"[""green""]"
42510,green,93.9232,36.0768,0.211462,0.211462,8,False,"[""celadon""]"
47566,green,93.6532,36.3468,0.115096,0.195373,3,False,"[""green""]"
42192,green,93.1433,36.8567,0.135574,0.155096,7,False,"[""blue_green_family""]"
452735,green,166.915,36.915,0.038912,0.187691,3,False,"[""blue_green_family""]"
451397,green,166.9644,36.9644,0.386959,0.43296,4,False,"[""green""]"
451622,green,167.0149,37.0149,0.088213,0.301996,3,False,"[""blue_green_family""]"
50773,green,92.6077,37.3923,0.070773,0.091146,4,False,"[""blue_green_family"",""blue_green_family""]"
48462,green,92.3114,37.6886,0.241245,0.246785,7,False,"[""celadon""]"
48314,green,167.9726,37.9726,0.16283,0.166681,7,False,"[""celadon""]"
39590,green,91.7216,38.2784,0.083871,0.100788,3,False,"[""celadon""]"
