objectID,color_kmeans_cluster,color_kmeans_k,color_kmeans_feature_version
42279,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42282,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42285,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42290,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42293,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42301,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42305,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42306,0,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42307,0,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42308,0,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42309,1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42310,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42311,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42312,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42313,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42317,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42324,3,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42326,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42331,1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42333,1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42336,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42337,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42338,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42341,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42350,1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42353,3,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42354,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42355,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42358,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42360,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42363,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42364,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42366,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42367,1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42368,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42369,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42370,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42376,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42377,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42378,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42389,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42391,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42393,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42394,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42397,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42400,0,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42403,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42406,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42409,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42413,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42414,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42415,0,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42416,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42417,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42421,3,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42422,0,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42424,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42425,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42426,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42427,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42428,0,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42432,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42434,1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42436,3,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42438,1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42439,1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42440,1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42443,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42447,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42448,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42450,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42464,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42468,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42469,1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42474,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42476,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42477,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42479,1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42486,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42490,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42491,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42498,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42505,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42506,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42510,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42511,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42522,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42537,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42540,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42541,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42549,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42550,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42551,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42694,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
42740,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
44332,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
44349,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
44419,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
44421,1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
44422,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
44423,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
44424,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
44426,0,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
44427,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
44428,3,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
44429,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
44431,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
44439,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
44441,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
44447,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
44448,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
44450,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
44454,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
44465,3,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
44467,1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
44528,0,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
44637,3,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
44688,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
44689,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
44690,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
44721,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
44722,3,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
44724,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
44725,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
44726,1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
44727,1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
44728,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
44729,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
44730,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
44733,1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
44737,1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
44738,1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
44739,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
44740,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
44741,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
44742,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
44743,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
44747,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
44749,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
44752,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
44755,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
44756,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
44793,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
44817,1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
44830,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
44862,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
44907,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
44953,3,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
44973,3,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
44974,1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
44977,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
45205,2,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
45365,1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
45432,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
45482,1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
45484,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
45527,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
45529,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
45550,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
45552,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
45553,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
45554,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
45555,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
45556,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
45732,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
45828,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
45829,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
45830,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
45832,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
45833,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
45834,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
45837,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
45838,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
45839,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
45844,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
45845,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
45847,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
45848,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
45849,1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
45853,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
45856,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
45857,1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
45861,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
45862,1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
45863,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
45864,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
45868,-1,4,lab_slots_ab_hist_rel_v2_exclude_manual_k4
