object_id,cluster,cluster_type
310193,cluster_8,core
310194,cluster_2,weird_cluster
310195,cluster_8,core
310196,cluster_8,core
310197,cluster_4,core
310198,cluster_8,core
310199,cluster_4,core
310201,cluster_8,core
310202,cluster_4,core
310203,cluster_6,core
310205,cluster_4,core
310206,cluster_8,core
310207,cluster_8,core
310208,cluster_5,core
310209,cluster_4,core
310214,cluster_5,core
310215,cluster_5,core
310218,cluster_6,core
310219,cluster_5,core
310220,cluster_5,core
310221,cluster_5,core
310227,cluster_0,outliers
310231,cluster_6,core
310232,cluster_6,core
310244,cluster_2,weird_cluster
310355,cluster_5,core
310358,cluster_7,core
310359,cluster_1,weird_cluster
310363,cluster_6,core
310364,cluster_3,core
310465,cluster_0,outliers
310466,cluster_2,weird_cluster
310481,cluster_5,core
310494,cluster_6,core
310496,cluster_8,core
310497,cluster_6,core
310509,cluster_8,core
310512,cluster_5,core
310517,cluster_3,core
310520,cluster_6,core
310521,cluster_8,core
310522,cluster_8,core
310523,cluster_8,core
310538,cluster_5,core
310542,cluster_0,outliers
310544,cluster_5,core
310547,cluster_5,core
310550,cluster_6,core
310552,cluster_1,weird_cluster
310556,cluster_6,core
310568,cluster_8,core
310589,cluster_2,weird_cluster
310601,cluster_7,core
310602,cluster_7,core
310607,cluster_7,core
310645,cluster_1,weird_cluster
310652,cluster_10,core
310654,cluster_6,core
310662,cluster_6,core
310673,cluster_6,core
310675,cluster_3,core
310704,cluster_7,core
310716,cluster_10,core
312157,cluster_6,core
312158,cluster_8,core
312161,cluster_10,core
312165,cluster_0,outliers
312486,cluster_6,core
312570,cluster_7,core
312571,cluster_6,core
312572,cluster_0,outliers
312581,cluster_2,weird_cluster
312586,cluster_3,core
312603,cluster_6,core
312606,cluster_5,core
312608,cluster_0,outliers
312629,cluster_4,core
312632,cluster_0,outliers
312802,cluster_5,core
312891,cluster_6,core
312915,cluster_0,outliers
312928,cluster_7,core
312935,cluster_6,core
313009,cluster_6,core
313101,cluster_8,core
313145,cluster_0,outliers
313155,cluster_5,core
313156,cluster_5,core
313241,cluster_7,core
313275,cluster_6,core
313286,cluster_10,core
313287,cluster_6,core
313301,cluster_5,core
313302,cluster_7,core
313304,cluster_8,core
313305,cluster_8,core
313307,cluster_8,core
313309,cluster_6,core
313320,cluster_0,outliers
313340,cluster_0,outliers
313363,cluster_7,core
313397,cluster_0,outliers
314181,cluster_9,core
314182,cluster_1,weird_cluster
314197,cluster_8,core
314217,cluster_1,weird_cluster
314364,cluster_8,core
314365,cluster_0,outliers
314523,cluster_4,core
314524,cluster_4,core
314626,cluster_6,core
314628,cluster_6,core
314629,cluster_5,core
314633,cluster_0,outliers
314635,cluster_5,core
314636,cluster_5,core
314678,cluster_3,core
314679,cluster_4,core
314680,cluster_10,core
314681,cluster_8,core
314682,cluster_1,weird_cluster
314684,cluster_0,outliers
314687,cluster_8,core
314688,cluster_8,core
314690,cluster_8,core
314691,cluster_6,core
314692,cluster_6,core
314693,cluster_8,core
314694,cluster_8,core
314695,cluster_2,weird_cluster
314696,cluster_1,weird_cluster
314697,cluster_8,core
314698,cluster_2,weird_cluster
314699,cluster_4,core
314954,cluster_0,outliers
314955,cluster_0,outliers
315052,cluster_8,core
315155,cluster_6,core
315176,cluster_6,core
315677,cluster_6,core
315678,cluster_0,outliers
315688,cluster_0,outliers
315999,cluster_0,outliers
316000,cluster_5,core
316001,cluster_0,outliers
316175,cluster_6,core
316177,cluster_6,core
316270,cluster_9,core
316711,cluster_7,core
316714,cluster_3,core
316715,cluster_8,core
316716,cluster_4,core
316718,cluster_7,core
316719,cluster_5,core
316720,cluster_6,core
316721,cluster_6,core
316782,cluster_7,core
316813,cluster_3,core
316875,cluster_3,core
316882,cluster_0,outliers
316886,cluster_4,core
317600,cluster_0,outliers
317749,cluster_1,weird_cluster
317786,cluster_5,core
317793,cluster_8,core
317831,cluster_3,core
317890,cluster_6,core
317989,cluster_8,core
317991,cluster_3,core
318291,cluster_3,core
318293,cluster_7,core
318466,cluster_5,core
318470,cluster_3,core
318475,cluster_6,core
318602,cluster_8,core
318603,cluster_8,core
318604,cluster_8,core
318605,cluster_6,core
318606,cluster_1,weird_cluster
318607,cluster_0,outliers
318614,cluster_5,core
318617,cluster_8,core
318618,cluster_5,core
318662,cluster_3,core
319227,cluster_1,weird_cluster
319468,cluster_0,outliers
319570,cluster_6,core
319633,cluster_7,core
319859,cluster_7,core
319966,cluster_7,core
320343,cluster_8,core
330104,cluster_4,core
36446,cluster_6,core
36452,cluster_8,core
36454,cluster_7,core
37398,cluster_5,core
37404,cluster_2,weird_cluster
37407,cluster_2,weird_cluster
37431,cluster_5,core
37432,cluster_9,core
37433,cluster_4,core
37434,cluster_8,core
37435,cluster_6,core
37436,cluster_3,core
37438,cluster_5,core
37439,cluster_3,core
37442,cluster_7,core
37443,cluster_4,core
37449,cluster_3,core
37450,cluster_10,core
37454,cluster_6,core
37455,cluster_6,core
37457,cluster_6,core
37458,cluster_6,core
37475,cluster_3,core
37476,cluster_3,core
37477,cluster_5,core
37478,cluster_3,core
37479,cluster_5,core
37482,cluster_5,core
37496,cluster_3,core
37510,cluster_5,core
37524,cluster_7,core
37537,cluster_7,core
37540,cluster_3,core
37543,cluster_6,core
37555,cluster_5,core
37557,cluster_4,core
37558,cluster_10,core
37563,cluster_3,core
37649,cluster_3,core
37657,cluster_7,core
38308,cluster_6,core
38546,cluster_10,core
39484,cluster_10,core
39496,cluster_0,outliers
39500,cluster_7,core
39501,cluster_7,core
39505,cluster_0,outliers
39506,cluster_3,core
39510,cluster_3,core
39511,cluster_3,core
39512,cluster_6,core
39513,cluster_3,core
39518,cluster_3,core
39519,cluster_9,core
39520,cluster_0,outliers
39521,cluster_10,core
39524,cluster_9,core
39528,cluster_7,core
39529,cluster_5,core
39531,cluster_7,core
39559,cluster_6,core
39576,cluster_3,core
39589,cluster_6,core
39590,cluster_4,core
39609,cluster_7,core
39631,cluster_8,core
39666,cluster_7,core
39885,cluster_7,core
40074,cluster_7,core
40082,cluster_7,core
40083,cluster_5,core
40084,cluster_9,core
40095,cluster_5,core
40206,cluster_7,core
40207,cluster_5,core
40959,cluster_9,core
40960,cluster_8,core
41076,cluster_10,core
41749,cluster_3,core
41753,cluster_10,core
42011,cluster_4,core
42190,cluster_4,core
42191,cluster_4,core
42192,cluster_8,core
42199,cluster_9,core
42200,cluster_4,core
42201,cluster_9,core
42202,cluster_10,core
42203,cluster_9,core
42204,cluster_10,core
42205,cluster_9,core
42206,cluster_9,core
42207,cluster_8,core
42208,cluster_10,core
42209,cluster_6,core
42211,cluster_10,core
42212,cluster_10,core
42213,cluster_10,core
42215,cluster_3,core
42216,cluster_10,core
42217,cluster_10,core
42218,cluster_9,core
42220,cluster_9,core
42221,cluster_9,core
42222,cluster_9,core
42224,cluster_9,core
42226,cluster_4,core
42227,cluster_5,core
42228,cluster_4,core
42229,cluster_9,core
42232,cluster_10,core
42237,cluster_10,core
42238,cluster_9,core
42240,cluster_9,core
42241,cluster_8,core
42242,cluster_4,core
42243,cluster_9,core
42246,cluster_10,core
42247,cluster_7,core
42248,cluster_4,core
42249,cluster_9,core
42250,cluster_9,core
42251,cluster_9,core
42253,cluster_8,core
42254,cluster_8,core
42255,cluster_8,core
42256,cluster_9,core
42257,cluster_9,core
42265,cluster_10,core
42267,cluster_9,core
42268,cluster_11,core
42272,cluster_9,core
42278,cluster_4,core
42279,cluster_9,core
42282,cluster_5,core
42285,cluster_5,core
42286,cluster_5,core
42290,cluster_9,core
42293,cluster_5,core
42301,cluster_4,core
42305,cluster_4,core
42306,cluster_4,core
42307,cluster_4,core
42308,cluster_3,core
42309,cluster_3,core
42310,cluster_3,core
42311,cluster_7,core
42312,cluster_5,core
42313,cluster_3,core
42317,cluster_6,core
42324,cluster_9,core
42326,cluster_10,core
42331,cluster_5,core
42333,cluster_5,core
42336,cluster_10,core
42337,cluster_10,core
42338,cluster_9,core
42341,cluster_9,core
42350,cluster_11,core
42353,cluster_10,core
42354,cluster_9,core
42355,cluster_10,core
42358,cluster_10,core
42360,cluster_9,core
42363,cluster_9,core
42364,cluster_9,core
42366,cluster_9,core
42367,cluster_8,core
42369,cluster_6,core
42370,cluster_11,core
42376,cluster_9,core
42377,cluster_5,core
42378,cluster_3,core
42386,cluster_10,core
42388,cluster_10,core
42389,cluster_9,core
42391,cluster_9,core
42393,cluster_7,core
42394,cluster_3,core
42397,cluster_10,core
42400,cluster_6,core
42403,cluster_9,core
42406,cluster_1,weird_cluster
42409,cluster_9,core
42413,cluster_5,core
42414,cluster_10,core
42415,cluster_10,core
42416,cluster_7,core
42417,cluster_7,core
42421,cluster_5,core
42422,cluster_5,core
42424,cluster_10,core
42425,cluster_9,core
42426,cluster_9,core
42427,cluster_10,core
42428,cluster_9,core
42432,cluster_3,core
42434,cluster_1,weird_cluster
42436,cluster_6,core
42438,cluster_8,core
42439,cluster_4,core
42440,cluster_7,core
42443,cluster_7,core
42447,cluster_4,core
42448,cluster_7,core
42450,cluster_10,core
42458,cluster_0,outliers
42464,cluster_6,core
42468,cluster_7,core
42469,cluster_7,core
42474,cluster_4,core
42476,cluster_8,core
42477,cluster_10,core
42479,cluster_7,core
42486,cluster_4,core
42490,cluster_10,core
42491,cluster_10,core
42498,cluster_3,core
42505,cluster_6,core
42506,cluster_9,core
42510,cluster_8,core
42511,cluster_7,core
42522,cluster_7,core
42537,cluster_9,core
42540,cluster_7,core
42541,cluster_3,core
42549,cluster_7,core
42550,cluster_8,core
42551,cluster_8,core
42694,cluster_7,core
42740,cluster_4,core
442873,cluster_5,core
442902,cluster_3,core
442905,cluster_7,core
44332,cluster_5,core
44349,cluster_3,core
44419,cluster_6,core
44421,cluster_3,core
44422,cluster_3,core
44423,cluster_3,core
